config_name,n_estimators,max_depth,min_samples_split,mean_val_accuracy,mean_val_macro_f1,test_accuracy,test_macro_f1
shallow,200,40.0,2,0.4184,0.4138451015929469,0.4245,0.4191870659150377
baseline,400,,2,0.4207000000000001,0.41514784325871606,0.425,0.4188818826902894
regularized,600,60.0,4,0.4254999999999999,0.41945941629992867,0.427,0.420739423225701
