feature_set,n_features,explained_variance,mean_val_accuracy,mean_val_macro_f1,test_accuracy,test_macro_f1
original,3072,1.0,0.4244,0.42359721166784425,0.436,0.43653117300849564
pca_10,1,0.2726879119873047,0.1628,0.10777792211464939,0.1525,0.10208161071729135
pca_30,2,0.386168897151947,0.20139999999999997,0.17486372624928187,0.1935,0.16254715228790886
pca_50,5,0.5313165187835693,0.28040000000000004,0.26813498997782076,0.2635,0.24132931135337898
pca_70,15,0.7022398114204407,0.37550000000000006,0.367665938543906,0.3615,0.3602574053259694
pca_100,3072,1.0,0.43170000000000003,0.43220169468531855,0.4375,0.43732190622747275
