feature_set,n_features,explained_variance,mean_val_accuracy,mean_val_macro_f1,test_accuracy,test_macro_f1
original,3072,1.0,0.4194,0.41310778560653266,0.4235,0.417806889661622
pca_10,1,0.2726879119873047,0.1142,0.11401888763061432,0.1215,0.12171976125647947
pca_30,2,0.386168897151947,0.1558,0.15526632217871827,0.15,0.14909655024777452
pca_50,5,0.5313165187835693,0.2695,0.2657207012557069,0.2625,0.2601131631807898
pca_70,15,0.7022398114204407,0.38570000000000004,0.379188218518543,0.3825,0.3774612143227728
pca_100,3072,1.0,0.42110000000000003,0.415167759650169,0.424,0.41769214999188325
